"filename", "language", "opam", "OCaml Interface", "OCaml", "Makefile", "Markdown", "comment", "blank", "total"
"/Users/caroline/Documents/GitHub/cs3110-final-project/INSTALL.md", "Markdown", 0, 0, 0, 0, 4, 0, 2, 6
"/Users/caroline/Documents/GitHub/cs3110-final-project/Makefile", "Makefile", 0, 0, 0, 10, 0, 0, 4, 14
"/Users/caroline/Documents/GitHub/cs3110-final-project/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 1, 3
"/Users/caroline/Documents/GitHub/cs3110-final-project/Rummikaml.opam", "opam", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/caroline/Documents/GitHub/cs3110-final-project/bin/main.ml", "OCaml", 0, 0, 200, 0, 0, 14, 19, 233
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/controller.mli", "OCaml Interface", 0, 5, 0, 0, 0, 6, 3, 14
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/model.ml", "OCaml", 0, 0, 299, 0, 0, 36, 35, 370
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/model.mli", "OCaml Interface", 0, 41, 0, 0, 0, 29, 21, 91
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/view.ml", "OCaml", 0, 0, 113, 0, 0, 10, 15, 138
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/view.mli", "OCaml Interface", 0, 12, 0, 0, 0, 16, 10, 38
"/Users/caroline/Documents/GitHub/cs3110-final-project/test/main.ml", "OCaml", 0, 0, 544, 0, 0, 51, 57, 652
"Total", "-", 0, 58, 1156, 10, 6, 162, 168, 1560
