"filename", "language", "opam", "OCaml", "OCaml Interface", "Makefile", "Markdown", "comment", "blank", "total"
"/Users/caroline/Documents/GitHub/cs3110-final-project/INSTALL.md", "Markdown", 0, 0, 0, 0, 4, 0, 2, 6
"/Users/caroline/Documents/GitHub/cs3110-final-project/Makefile", "Makefile", 0, 0, 0, 10, 0, 0, 4, 14
"/Users/caroline/Documents/GitHub/cs3110-final-project/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 1, 3
"/Users/caroline/Documents/GitHub/cs3110-final-project/Rummikaml.opam", "opam", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/caroline/Documents/GitHub/cs3110-final-project/bin/main.ml", "OCaml", 0, 200, 0, 0, 0, 14, 19, 233
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/controller.mli", "OCaml Interface", 0, 0, 5, 0, 0, 6, 3, 14
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/cpu.ml", "OCaml", 0, 262, 0, 0, 0, 50, 31, 343
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/cpu.mli", "OCaml Interface", 0, 0, 9, 0, 0, 22, 9, 40
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/model.ml", "OCaml", 0, 308, 0, 0, 0, 36, 36, 380
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/model.mli", "OCaml Interface", 0, 0, 42, 0, 0, 30, 22, 94
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/view.ml", "OCaml", 0, 113, 0, 0, 0, 10, 15, 138
"/Users/caroline/Documents/GitHub/cs3110-final-project/lib/view.mli", "OCaml Interface", 0, 0, 12, 0, 0, 16, 10, 38
"/Users/caroline/Documents/GitHub/cs3110-final-project/test/main.ml", "OCaml", 0, 810, 0, 0, 0, 56, 66, 932
"Total", "-", 0, 1693, 68, 10, 6, 240, 219, 2236
